============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 22 2020  03:36:03 pm
  Module:                 top_level
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                            Leakage    Internal  
       Gate         Instances     Area    Power (uW)  Power (uW)     Library    
HS65_LS_CNBFX48             1       8.320      0.026       6.611    CORE65LPSVT 
HS65_LS_CNBFX52             1       8.840      0.028       0.483    CORE65LPSVT 
HS65_LS_CNBFX55             1       8.840      0.029       0.506    CORE65LPSVT 
HS65_LS_CNBFX58             2      19.760      0.065      16.409    CORE65LPSVT 
HS65_LS_CNBFX62             1       9.880      0.034       0.574    CORE65LPSVT 
HS65_LS_CNBFX82             1      12.480      0.042       3.763    CORE65LPSVT 
HS65_LS_CNIVX10             8      20.800      0.024       3.782    CORE65LPSVT 
HS65_LS_CNIVX103           15     179.400      0.669      21.890    CORE65LPSVT 
HS65_LS_CNIVX124            5      70.200      0.255      10.694    CORE65LPSVT 
HS65_LS_CNIVX14            56     145.600      0.242      25.864    CORE65LPSVT 
HS65_LS_CNIVX17            26      81.120      0.135      10.335    CORE65LPSVT 
HS65_LS_CNIVX21           200     624.000      1.378     144.890    CORE65LPSVT 
HS65_LS_CNIVX24             3      10.920      0.026       2.253    CORE65LPSVT 
HS65_LS_CNIVX27           207     753.480      1.961     214.195    CORE65LPSVT 
HS65_LS_CNIVX3              5       7.800      0.005       0.543    CORE65LPSVT 
HS65_LS_CNIVX31            16      74.880      0.183      11.275    CORE65LPSVT 
HS65_LS_CNIVX34           110     514.800      1.330     135.032    CORE65LPSVT 
HS65_LS_CNIVX38             1       5.200      0.013       0.689    CORE65LPSVT 
HS65_LS_CNIVX41            56     291.200      0.834      56.481    CORE65LPSVT 
HS65_LS_CNIVX45             7      43.680      0.132       6.433    CORE65LPSVT 
HS65_LS_CNIVX48            12      74.880      0.217      17.240    CORE65LPSVT 
HS65_LS_CNIVX52             1       6.760      0.022       0.742    CORE65LPSVT 
HS65_LS_CNIVX55            17     114.920      0.368      22.982    CORE65LPSVT 
HS65_LS_CNIVX58             3      21.840      0.071       4.055    CORE65LPSVT 
HS65_LS_CNIVX62            43     313.040      1.065      48.409    CORE65LPSVT 
