============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Feb 20 2020  08:33:10 pm
  Module:                 filter_regular
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage   Internal    Net        Dynamic          Total       
                                                                  (Internal+Net) (Leakage+Dynamic) 
           Instance           Cells Power(uW) Power(uW) Power(uW)    Power(uW)       Power(uW)     
---------------------------------------------------------------------------------------------------
filter_regular                17502    96.257 10945.082  8153.624      19098.706         19194.963 
    csa_tree_U..d_90_9_groupi    55     0.269    35.007    35.615         70.622            70.892 
    csa_tree_U..d_90_9_groupi    49     0.262    32.698    32.553         65.251            65.513 
    csa_tree_U..d_90_9_groupi    49     0.257    33.814    33.507         67.321            67.578 
    csa_tree_U..d_90_9_groupi    47     0.251    33.287    32.718         66.005            66.256 
    csa_tree_U..d_90_9_groupi    43     0.228    21.323    23.453         44.776            45.005 
    csa_tree_U..d_90_9_groupi    37     0.216    17.251    19.108         36.359            36.575 
    csa_tree_U..d_90_9_groupi    44     0.212    15.637    18.150         33.787            33.999 
    csa_tree_U..d_90_9_groupi    39     0.207    14.676    16.284         30.960            31.167 
    csa_tree_U..d_90_9_groupi    37     0.204    10.060    11.021         21.081            21.285 
    csa_tree_U..d_90_9_groupi    38     0.202    15.255    16.866         32.121            32.323 
    csa_tree_U..d_90_9_groupi    33     0.180    15.900    17.598         33.499            33.679 
    csa_tree_U..d_90_9_groupi    33     0.171    18.650    17.660         36.310            36.481 
    csa_tree_U..d_90_9_groupi    32     0.171    15.005    19.880         34.886            35.056 
    csa_tree_U..d_90_9_groupi    32     0.170    15.581    17.417         32.998            33.168 
    csa_tree_U..d_90_9_groupi    27     0.158    12.190    13.308         25.498            25.656 
    csa_tree_U..d_90_9_groupi    27     0.157    12.833    14.331         27.165            27.321 
    csa_tree_U..d_90_9_groupi    27     0.155    11.307    12.458         23.765            23.920 
    csa_tree_U..d_90_9_groupi    26     0.150     7.242     7.680         14.922            15.072 
    U_S95_add_63_8               19     0.096    11.323     9.420         20.743            20.839 
    U_S85_add_63_8               19     0.096    11.962     9.977         21.939            22.035 
    U_S_25_add_63_8              19     0.096    12.279    10.143         22.422            22.517 
    U_S_15_add_63_8              19     0.096    11.236     9.439         20.674            20.770 
    U_S4_add_90_9                19     0.095     8.595     7.442         16.038            16.133 
    U_S_44_add_63_8              19     0.095    10.387     8.858         19.245            19.340 
    U_S14_add_90_9               19     0.095    10.324     8.706         19.030            19.125 
    U_S_35_add_63_8              18     0.092    10.942     9.327         20.269            20.360 

