============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Mar 03 2020  05:02:31 pm
  Module:                 INTER_2
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage   Internal    Net        Dynamic          Total       
                                                                  (Internal+Net) (Leakage+Dynamic) 
           Instance           Cells Power(uW) Power(uW) Power(uW)    Power(uW)       Power(uW)     
---------------------------------------------------------------------------------------------------
INTER_2                       15386   164.608 10737.075  6396.083      17133.158         17297.766 
    addinc_U_1_U_S1_add_18_16    61     0.584    14.065    14.130         28.195            28.779 
    addinc_U_0_U_S1_add_18_16    61     0.576    13.127    13.257         26.385            26.960 
    U_S10                         3     0.017     0.784     0.621          1.405             1.423 
      addinc_add_41_28            3     0.017     0.784     0.621          1.405             1.423 
  gen_filter[8].U_S0            427     4.607   152.770   150.896        303.666           308.273 
    addinc_U_0_U_S0_add_18_16    75     0.829    14.710    17.959         32.670            33.499 
    addinc_U_1_U_S0_add_18_16    75     0.826    14.378    17.427         31.805            32.631 
    csa_tree_U.._18_10_groupi    54     0.715    45.402    35.405         80.808            81.523 
    csa_tree_U.._18_10_groupi    54     0.710    45.106    33.691         78.796            79.507 
    addinc_U_1_U_S1_add_18_16    61     0.586    13.330    13.203         26.533            27.119 
    addinc_U_0_U_S1_add_18_16    61     0.581    13.492    13.393         26.884            27.465 
    U_S10                         3     0.017     0.795     0.636          1.432             1.449 
      addinc_add_41_28            3     0.017     0.795     0.636          1.432             1.449 
  gen_filter[22].U_S0           427     4.607   153.866   154.344        308.210           312.817 
    addinc_U_1_U_S0_add_18_16    75     0.833    16.634    19.840         36.474            37.307 
    addinc_U_0_U_S0_add_18_16    75     0.817    13.575    16.547         30.122            30.938 
    csa_tree_U.._18_10_groupi    54     0.716    46.350    35.983         82.333            83.048 
    csa_tree_U.._18_10_groupi    54     0.713    42.249    32.099         74.348            75.061 
    addinc_U_0_U_S1_add_18_16    61     0.589    13.109    13.277         26.386            26.976 
    addinc_U_1_U_S1_add_18_16    61     0.579    15.072    15.399         30.471            31.050 
    U_S10                         3     0.017     0.871     0.683          1.553             1.571 
      addinc_add_41_28            3     0.017     0.871     0.683          1.553             1.571 
  gen_filter[20].U_S0           427     4.605   148.615   146.097        294.713           299.317 
    addinc_U_1_U_S0_add_18_16    75     0.827    13.319    16.043         29.362            30.189 
    addinc_U_0_U_S0_add_18_16    75     0.824    14.659    17.858         32.517            33.341 
    csa_tree_U.._18_10_groupi    54     0.716    44.830    34.931         79.762            80.478 
    csa_tree_U.._18_10_groupi    54     0.712    43.248    32.684         75.931            76.644 
    addinc_U_1_U_S1_add_18_16    61     0.584    11.855    11.780         23.634            24.218 
    addinc_U_0_U_S1_add_18_16    61     0.581    15.008    15.203         30.211            30.792 
    U_S10                         3     0.017     0.705     0.563          1.269             1.286 
      addinc_add_41_28            3     0.017     0.705     0.563          1.269             1.286 
  gen_filter[28].U_S0           427     4.603   149.412   149.593        299.005           303.608 
    addinc_U_1_U_S0_add_18_16    75     0.834    13.860    17.055         30.915            31.749 
    addinc_U_0_U_S0_add_18_16    75     0.825    15.152    18.310         33.462            34.287 
    csa_tree_U.._18_10_groupi    54     0.713    41.747    33.100         74.846            75.560 
    csa_tree_U.._18_10_groupi    54     0.709    44.244    33.461         77.705            78.414 
    addinc_U_0_U_S1_add_18_16    61     0.588    14.498    14.628         29.126            29.713 
    addinc_U_1_U_S1_add_18_16    61     0.576    13.127    13.257         26.384            26.960 
    U_S10                         3     0.017     0.959     0.779          1.737             1.755 
      addinc_add_41_28            3     0.017     0.959     0.779          1.737             1.755 
  gen_filter[11].U_S0           427     4.600   155.016   155.216        310.232           314.833 
    addinc_U_0_U_S0_add_18_16    75     0.829    14.438    17.599         32.037            32.866 
    addinc_U_1_U_S0_add_18_16    75     0.818    15.323    18.411         33.734            34.552 
    csa_tree_U.._18_10_groupi    54     0.715    45.409    35.023         80.432            81.147 
    csa_tree_U.._18_10_groupi    54     0.712    45.953    36.519         82.472            83.184 
    addinc_U_0_U_S1_add_18_16    61     0.587    12.678    12.625         25.303            25.890 
    addinc_U_1_U_S1_add_18_16    61     0.580    14.678    14.792         29.470            30.050 
    U_S10                         3     0.017     0.822     0.675          1.496             1.514 
      addinc_add_41_28            3     0.017     0.822     0.675          1.496             1.514 
  gen_filter[13].U_S0           427     4.598   149.732   151.006        300.738           305.336 
    addinc_U_1_U_S0_add_18_16    75     0.832    14.063    17.160         31.223            32.055 
    addinc_U_0_U_S0_add_18_16    75     0.829    16.011    19.524         35.535            36.363 
    csa_tree_U.._18_10_groupi    54     0.711    42.952    33.067         76.019            76.730 
    csa_tree_U.._18_10_groupi    54     0.707    43.433    33.831         77.264            77.971 
    addinc_U_0_U_S1_add_18_16    61     0.584    14.880    14.547         29.427            30.011 
    addinc_U_1_U_S1_add_18_16    61     0.578    11.769    12.379         24.147            24.725 
    U_S10                         3     0.017     0.772     0.598          1.371             1.388 
      addinc_add_41_28            3     0.017     0.772     0.598          1.371             1.388 
  gen_filter[12].U_S0           427     4.595   165.850   163.837        329.686           334.281 
    addinc_U_1_U_S0_add_18_16    75     0.829    16.012    19.524         35.536            36.365 
    addinc_U_0_U_S0_add_18_16    75     0.818    15.324    18.411         33.735            34.553 
    csa_tree_U.._18_10_groupi    54     0.712    48.707    36.694         85.402            86.114 
    csa_tree_U.._18_10_groupi    54     0.710    49.240    38.134         87.374            88.085 
    addinc_U_1_U_S1_add_18_16    61     0.584    14.879    14.547         29.426            30.010 
    addinc_U_0_U_S1_add_18_16    61     0.580    14.679    14.792         29.471            30.050 
    U_S10                         3     0.017     0.888     0.721          1.609             1.626 
      addinc_add_41_28            3     0.017     0.888     0.721          1.609             1.626 

