============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 19 2019  11:38:18 pm
  Module:                 FME_INTER_4
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                            Leakage    Internal  
       Gate         Instances     Area    Power (uW)  Power (uW)     Library    
HS65_LS_PAO2X18             9      51.480      0.106      14.488    CORE65LPSVT 
HS65_LS_PAO2X27            21     207.480      0.380      39.142    CORE65LPSVT 
HS65_LS_PAO2X35            26     270.400      0.636      53.186    CORE65LPSVT 
HS65_LS_PAO3X18             1       6.760      0.011       1.713    CORE65LPSVT 
HS65_LS_PAOI2X1           104     378.560      0.160      17.839    CORE65LPSVT 
HS65_LS_PAOI2X11          102     795.600      0.779     123.880    CORE65LPSVT 
HS65_LS_PAOI2X22            8     120.640      0.089       7.804    CORE65LPSVT 
HS65_LS_PAOI2X3             8      33.280      0.019       2.797    CORE65LPSVT 
HS65_LS_PAOI2X33            9     196.560      0.165      19.260    CORE65LPSVT 
HS65_LS_PAOI2X6            26     108.160      0.113      16.109    CORE65LPSVT 
HS65_LS_PAOI3X4             1       5.200      0.005       0.485    CORE65LPSVT 
HS65_LS_SDFPRQX9          360    4492.800      3.811    3402.252    CORE65LPSVT 
HS65_LS_XNOR2X18          562    3799.120     12.329     920.227    CORE65LPSVT 
HS65_LS_XNOR2X27           16     166.400      0.507      26.226    CORE65LPSVT 
HS65_LS_XNOR2X35            4      45.760      0.174      13.726    CORE65LPSVT 
HS65_LS_XNOR2X4            11      51.480      0.063      10.346    CORE65LPSVT 
HS65_LS_XNOR2X9           104     540.800      1.027      90.567    CORE65LPSVT 
HS65_LS_XOR2X18           513    3467.880     11.281     906.590    CORE65LPSVT 
HS65_LS_XOR2X27           140    1456.000      4.465     339.331    CORE65LPSVT 
HS65_LS_XOR2X35           333    3809.520     14.599    1146.313    CORE65LPSVT 
HS65_LS_XOR2X4             57     266.760      0.339      51.754    CORE65LPSVT 
HS65_LS_XOR2X9            124     644.800      1.228     117.415    CORE65LPSVT 
--------------------------------------------------------------------------------
total                   92345  469003.600    687.794  148974.015                


                                             Leakage  Leakage  Internal  Internal 
     Type      Instances    Area    Area % Power (uW) Power % Power (uW)  Power % 
----------------------------------------------------------------------------------
sequential         13704 143270.400   30.5    135.557    19.7  90518.171     60.8 
inverter           10101  23432.760    5.0     63.433     9.2   3167.962      2.1 
buffer               832   6675.760    1.4     29.679     4.3   2285.933      1.5 
logic              67708 295624.680   63.0    459.126    66.8  53001.948     35.6 
physical_cells         0      0.000    0.0      0.000     0.0      0.000      0.0 
----------------------------------------------------------------------------------
total              92345 469003.600  100.0    687.794   100.0 148974.015    100.0 

