============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 25 2019  03:30:59 pm
  Module:                 FME_INTER_2
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                            Leakage    Internal  
       Gate         Instances     Area    Power (uW)  Power (uW)     Library     
HS65_LS_NOR2AX13          350    1456.000      3.234     207.889    CORE65LPSVT  
HS65_LS_NOR2AX19           67     383.240      0.654      49.403    CORE65LPSVT  
HS65_LS_NOR2AX25           20     135.200      0.267      21.605    CORE65LPSVT  
HS65_LS_NOR2AX3           337     876.200      0.841      73.811    CORE65LPSVT  
HS65_LS_NOR2AX6           409    1276.080      1.760     135.550    CORE65LPSVT  
HS65_LS_NOR2X13           426    1550.640      2.882     199.130    CORE65LPSVT  
HS65_LS_NOR2X19           375    1950.000      4.127     239.095    CORE65LPSVT  
HS65_LS_NOR2X25           292    1822.080      4.030     241.912    CORE65LPSVT  
HS65_LS_NOR2X38           298    2634.320      7.333     357.491    CORE65LPSVT  
HS65_LS_NOR2X50             6      71.760      0.170       5.822    CORE65LPSVT  
HS65_LS_NOR2X6            663    1379.040      1.270      87.222    CORE65LPSVT  
HS65_LS_NOR2X9              2       7.280      0.007       0.692    CORE65LPSVT  
HS65_LS_NOR3AX13            1       7.800      0.005       1.013    CORE65LPSVT  
HS65_LS_NOR3X13             2      13.520      0.020       0.638    CORE65LPSVT  
HS65_LS_NOR3X18            20     176.800      0.057       8.409    CORE65LPSVT  
HS65_LS_NOR3X26             7      80.080      0.167      11.499    CORE65LPSVT  
HS65_LS_NOR3X35             5      75.400      0.153       8.789    CORE65LPSVT  
HS65_LS_NOR3X4              2       5.200      0.002       0.490    CORE65LPSVT  
HS65_LS_NOR3X7             18      84.240      0.022       5.185    CORE65LPSVT  
HS65_LS_OA12X18            25     104.000      0.265      23.266    CORE65LPSVT  
HS65_LS_OA12X27            24     174.720      0.417      33.729    CORE65LPSVT  
HS65_LS_OA12X35             4      31.200      0.106       7.460    CORE65LPSVT  
HS65_LS_OA212X4            21     109.200      0.061      12.743    CORE65LPSVT  
HS65_LS_OAI112X11          20     124.800      0.210      25.455    CORE65LPSVT  
HS65_LS_OAI112X16           1       8.840      0.019       1.014    CORE65LPSVT  
HS65_LS_OAI112X5        12504   45514.560     76.096    9723.009    CORE65LPSVT  
HS65_LS_OAI12X12          261    1357.200      2.673     171.550    CORE65LPSVT  
HS65_LS_OAI12X18          425    2873.000      6.771     361.647    CORE65LPSVT  
HS65_LS_OAI12X24          473    4181.320      9.912     537.227    CORE65LPSVT  
HS65_LS_OAI12X3             1       2.600      0.002       0.347    CORE65LPSVT  
HS65_LS_OAI12X37          157    2041.000      5.192     275.701    CORE65LPSVT  
HS65_LS_OAI12X6           165     514.800      0.598      98.823    CORE65LPSVT  
HS65_LS_OAI13X10            1       6.240      0.008       1.616    CORE65LPSVT  
HS65_LS_OAI13X15            2      17.680      0.023       4.007    CORE65LPSVT  
HS65_LS_OAI13X5            42     152.880      0.150      22.183    CORE65LPSVT  
HS65_LS_OAI211X11           1       6.240      0.005       0.530    CORE65LPSVT  
HS65_LS_OAI211X5           10      36.400      0.032       4.624    CORE65LPSVT  
HS65_LS_OAI211X8            2      12.480      0.008       1.320    CORE65LPSVT  
HS65_LS_OAI212X10          20     166.400      0.240      15.910    CORE65LPSVT  
HS65_LS_OAI212X15           1      10.920      0.010       1.013    CORE65LPSVT  
HS65_LS_OAI212X5           65     270.400      0.388      54.928    CORE65LPSVT  
HS65_LS_OAI21X12            5      26.000      0.047       2.994    CORE65LPSVT  
HS65_LS_OAI21X18            4      27.040      0.053       2.524    CORE65LPSVT  
HS65_LS_OAI21X24           21     185.640      0.381      19.188    CORE65LPSVT  
HS65_LS_OAI21X3          1383    3595.800      2.626     317.802    CORE65LPSVT  
HS65_LS_OAI21X37           15     195.000      0.417      19.917    CORE65LPSVT  
HS65_LS_OAI21X49            2      34.320      0.076       3.564    CORE65LPSVT  
HS65_LS_OAI22X11           31     193.440      0.287      31.322    CORE65LPSVT  
HS65_LS_OAI22X17            1       8.840      0.014       0.944    CORE65LPSVT  
HS65_LS_OAI22X6             2       7.280      0.008       0.779    CORE65LPSVT  
HS65_LS_OAI311X5            1       4.160      0.000       0.000    CORE65LPSVT  
HS65_LS_OAI31X10           18     112.320      0.145      14.034    CORE65LPSVT  
HS65_LS_OR2ABX18           14      58.240      0.148      15.683    CORE65LPSVT  
HS65_LS_OR2ABX35           24     137.280      0.542      56.353    CORE65LPSVT  
HS65_LS_OR2X18            218     793.520      2.019     176.549    CORE65LPSVT  
HS65_LS_OR2X27             47     268.840      0.632      38.122    CORE65LPSVT  
HS65_LS_OR2X35              7      43.680      0.109       1.006    CORE65LPSVT  
HS65_LS_OR2X4               2       6.240      0.005       0.182    CORE65LPSVT  
HS65_LS_OR2X9             635    1981.200      2.697     244.101    CORE65LPSVT  
HS65_LS_OR3ABCX18           1       5.200      0.008       0.467    CORE65LPSVT  
HS65_LS_OR3X18              1       4.680      0.007       0.142    CORE65LPSVT  
HS65_LS_OR3X9               1       3.640      0.006       0.450    CORE65LPSVT  
HS65_LS_OR4X4               1       5.200      0.006       0.580    CORE65LPSVT  
HS65_LS_PAO2X18             3      17.160      0.032       3.814    CORE65LPSVT  
HS65_LS_PAO2X27            18     177.840      0.286      41.356    CORE65LPSVT  
HS65_LS_PAO2X9            266    1244.880      1.180     173.528    CORE65LPSVT  
HS65_LS_PAOI2X1            61     222.040      0.065       8.661    CORE65LPSVT  
HS65_LS_PAOI2X11           58     452.400      0.554      60.774    CORE65LPSVT  
HS65_LS_PAOI2X17          121    1321.320      1.485     208.999    CORE65LPSVT  
HS65_LS_PAOI2X22           69    1040.520      1.045     149.556    CORE65LPSVT  
HS65_LS_PAOI2X33            5     109.200      0.115      15.820    CORE65LPSVT  
HS65_LS_PAOI2X6            45     187.200      0.209      22.899    CORE65LPSVT  
HS65_LS_SDFPRQX9          141    1759.680      1.489    1190.572    CORE65LPSVT  
HS65_LS_XNOR2X18          292    1973.920      6.396     449.289    CORE65LPSVT  
HS65_LS_XNOR2X27           58     603.200      1.827     125.361    CORE65LPSVT  
HS65_LS_XNOR2X35          122    1395.680      5.310     424.623    CORE65LPSVT  
HS65_LS_XNOR2X4             5      23.400      0.028       2.660    CORE65LPSVT  
HS65_LS_XNOR2X9            93     483.600      0.910      73.347    CORE65LPSVT  
HS65_LS_XNOR3X18            1      11.960      0.017       1.940    CORE65LPSVT  
HS65_LS_XNOR3X9             1      11.440      0.008       1.171    CORE65LPSVT  
HS65_LS_XOR2X18           387    2616.120      8.515     592.090    CORE65LPSVT  
HS65_LS_XOR2X27           167    1736.800      5.328     388.791    CORE65LPSVT  
HS65_LS_XOR2X35           219    2505.360      9.597     669.516    CORE65LPSVT  
HS65_LS_XOR2X4             12      56.160      0.071       5.199    CORE65LPSVT  
HS65_LS_XOR2X9            126     655.200      1.239     100.974    CORE65LPSVT  
HS65_LS_XOR3X9            100     936.000      0.729      88.734    CORE65LPSVT  
---------------------------------------------------------------------------------
total                  156288  919054.240   1073.218  367829.129                 


                                                Leakage  Leakage  Internal  Internal 
