============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 21 2019  09:08:01 pm
  Module:                 FME_PIPE_2
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage   Internal      Net        Dynamic          Total       
                                                                    (Internal+Net) (Leakage+Dynamic) 
           Instance           Cells Power(uW)  Power(uW)  Power(uW)    Power(uW)       Power(uW)     
-----------------------------------------------------------------------------------------------------
    addinc_PUs.._S1_add_18_16    79     0.652     55.461     68.508        123.970           124.622 
    addinc_PUs.._S1_add_18_16    80     0.652     56.473     72.251        128.724           129.375 
    addinc_PUs.._S1_add_18_16    79     0.652     55.490     67.790        123.280           123.931 
    addinc_PUs.._S1_add_18_16    78     0.651     55.340     68.013        123.353           124.004 
    addinc_PUs.._S1_add_18_16    78     0.650     51.533     63.892        115.426           116.076 
    addinc_PUs.._S1_add_18_16    81     0.650     53.747     66.282        120.029           120.679 
    addinc_PUs.._S1_add_18_16    78     0.649     51.748     64.140        115.888           116.537 
    addinc_PUs.._S1_add_18_16    76     0.648     53.193     65.734        118.927           119.575 
    addinc_PUs.._S1_add_18_16    81     0.643     56.244     70.160        126.404           127.047 
    addinc_PUs.._S1_add_18_16    79     0.642     50.507     63.289        113.796           114.438 
    csa_tree_P.._18_10_groupi   100     0.641     94.351    129.631        223.981           224.623 
    csa_tree_P.._18_10_groupi   100     0.641     91.968    126.370        218.339           218.980 
    csa_tree_P.._18_10_groupi   100     0.640     98.057    134.998        233.055           233.696 
    csa_tree_P.._18_10_groupi   100     0.640     95.941    131.857        227.798           228.438 
    csa_tree_P.._18_10_groupi   100     0.640     97.000    131.360        228.361           229.001 
    csa_tree_P.._18_10_groupi   100     0.640     95.457    130.654        226.111           226.751 
    csa_tree_P.._18_10_groupi   100     0.639     95.990    132.528        228.518           229.157 
    csa_tree_P.._18_10_groupi   100     0.639     94.928    130.228        225.156           225.795 
    csa_tree_P.._18_10_groupi   100     0.639     96.650    130.980        227.630           228.269 
    addinc_PUs.._S1_add_18_16    79     0.639     53.448     65.771        119.219           119.858 
    csa_tree_P.._18_10_groupi   100     0.639     98.068    132.055        230.123           230.762 
    addinc_PUs.._S1_add_18_16    78     0.638     52.794     66.575        119.369           120.007 
    addinc_PUs.._S1_add_18_16    77     0.637     51.690     62.563        114.252           114.890 
    addinc_PUs.._S1_add_18_16    80     0.636     52.877     67.896        120.773           121.409 
    addinc_PUs.._S1_add_18_16    79     0.632     49.559     62.165        111.723           112.355 
    addinc_PUs.._S1_add_18_16    78     0.628     49.794     61.991        111.785           112.413 
    csa_tree_P.._18_10_groupi    99     0.622     95.934    131.627        227.561           228.183 
    csa_tree_P.._18_10_groupi    99     0.621     89.794    123.236        213.030           213.651 
    csa_tree_P.._18_10_groupi    99     0.621     95.548    129.045        224.593           225.214 
    csa_tree_P.._18_10_groupi    99     0.621     95.648    130.174        225.822           226.444 
    csa_tree_P.._18_10_groupi    99     0.621     96.719    131.551        228.270           228.891 
    csa_tree_P.._18_10_groupi    99     0.621     94.199    127.932        222.130           222.751 
    PUs[12].U_.._S2_add_18_10    77     0.621     61.546     68.204        129.750           130.371 
    csa_tree_P.._18_10_groupi    99     0.620     90.832    125.345        216.178           216.798 
    csa_tree_P.._18_10_groupi    99     0.620     94.193    129.063        223.255           223.875 
    csa_tree_P.._18_10_groupi    99     0.619     95.346    130.180        225.525           226.144 
    csa_tree_P.._18_10_groupi    99     0.619     92.738    126.259        218.997           219.616 
    csa_tree_P.._18_10_groupi    99     0.617     92.420    126.331        218.751           219.368 
    PUs[30].U_.._S2_add_18_10    77     0.615     59.804     68.782        128.586           129.202 
    PUs[15].U_.._S2_add_18_10    78     0.608     56.768     64.961        121.729           122.337 
    PUs[20].U_.._S2_add_18_10    78     0.605     64.208     73.711        137.919           138.524 
    PUs[21].U_.._S2_add_18_10    77     0.605     59.678     69.916        129.593           130.198 
    PUs[0].U_F.._S2_add_18_10    77     0.601     53.842     63.387        117.229           117.831 
    PUs[31].U_.._S2_add_18_10    79     0.600     59.787     69.624        129.411           130.011 
    PUs[28].U_.._S2_add_18_10    77     0.598     61.240     70.558        131.798           132.396 
    PUs[32].U_.._S2_add_18_10    77     0.596     60.244     70.623        130.867           131.463 
    PUs[25].U_.._S2_add_18_10    76     0.595     57.788     67.673        125.461           126.056 
    PUs[11].U_.._S2_add_18_10    77     0.594     62.679     72.969        135.648           136.242 
    PUs[26].U_.._S2_add_18_10    75     0.593     62.311     71.646        133.957           134.550 
    PUs[14].U_.._S2_add_18_10    76     0.593     55.712     64.248        119.960           120.553 
    PUs[27].U_.._S2_add_18_10    76     0.590     58.214     67.673        125.886           126.476 
    PUs[18].U_.._S2_add_18_10    76     0.586     63.223     73.695        136.918           137.505 
    PUs[22].U_.._S2_add_18_10    75     0.586     61.024     71.635        132.659           133.244 
