============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 23 2019  03:29:17 am
  Module:                 FME_INTER_6
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                             Leakage    Internal  
       Gate         Instances     Area     Power (uW)  Power (uW)     Library    
HS65_LS_OR3X4               1        3.640      0.004       0.279    CORE65LPSVT 
HS65_LS_OR3X9               1        3.640      0.002       0.000    CORE65LPSVT 
HS65_LS_PAO2X9            378     1769.040      1.767     285.762    CORE65LPSVT 
HS65_LS_PAOI2X11           29      226.200      0.301      37.036    CORE65LPSVT 
HS65_LS_PAOI2X17           19      207.480      0.251      42.453    CORE65LPSVT 
HS65_LS_PAOI2X6           194      807.040      0.878     133.283    CORE65LPSVT 
HS65_LS_SDFPRQX9          120     1497.600      1.267     885.421    CORE65LPSVT 
HS65_LS_XNOR2X18          636     4299.360     13.940    1132.104    CORE65LPSVT 
HS65_LS_XNOR2X27          257     2672.800      8.091     672.104    CORE65LPSVT 
HS65_LS_XNOR2X35           54      617.760      2.345     144.397    CORE65LPSVT 
HS65_LS_XNOR2X4            14       65.520      0.079      10.413    CORE65LPSVT 
HS65_LS_XNOR2X9           588     3057.600      5.801     523.283    CORE65LPSVT 
HS65_LS_XOR2X18          1036     7003.360     22.797    1545.838    CORE65LPSVT 
HS65_LS_XOR2X27           167     1736.800      5.320     364.446    CORE65LPSVT 
HS65_LS_XOR2X35           254     2905.760     11.140     718.342    CORE65LPSVT 
HS65_LS_XOR2X4            350     1638.000      2.115     184.201    CORE65LPSVT 
HS65_LS_XOR2X9            411     2137.200      4.088     408.715    CORE65LPSVT 
HS65_LS_XOR3X9            130     1216.800      0.972     105.299    CORE65LPSVT 
---------------------------------------------------------------------------------
total                  171069  1178973.640   1391.235  334730.255                


                                              Leakage  Leakage  Internal  Internal 
     Type      Instances     Area    Area % Power (uW) Power % Power (uW)  Power % 
-----------------------------------------------------------------------------------
sequential         49044  510307.200   43.3    483.452    34.7 229731.340     68.6 
inverter           22718   46756.320    4.0    113.373     8.1   5208.594      1.6 
buffer               784    9141.080    0.8     44.001     3.2   2471.566      0.7 
logic              98523  612769.040   52.0    750.408    53.9  97318.755     29.1 
physical_cells         0       0.000    0.0      0.000     0.0      0.000      0.0 
-----------------------------------------------------------------------------------
total             171069 1178973.640  100.0   1391.235   100.0 334730.255    100.0 

