============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 20 2019  11:44:26 am
  Module:                 FME_INTER_6
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage   Internal    Net        Dynamic          Total       
                                                                  (Internal+Net) (Leakage+Dynamic) 
           Instance           Cells Power(uW) Power(uW) Power(uW)    Power(uW)       Power(uW)     
---------------------------------------------------------------------------------------------------
    PUs[10].U_.._S0_add_18_10     9     0.062     4.239    11.000         15.238            15.300 
    PUs[13].U_.._S0_add_18_10     9     0.062     4.310    11.649         15.959            16.021 
    PUs[2].U_F.._S1_add_18_10     9     0.058     4.358    10.676         15.034            15.092 
    PUs[8].U_F.._S1_add_18_10     9     0.058     4.569    11.722         16.291            16.350 
    PUs[5].U_F.._S1_add_18_10     9     0.058     3.787     9.434         13.221            13.279 
    PUs[4].U_F.._S1_add_18_10     9     0.058     4.167    10.899         15.066            15.124 
    PUs[3].U_F.._S1_add_18_10     9     0.058     4.413    11.566         15.978            16.036 
    PUs[0].U_F.._S1_add_18_10     9     0.058     4.254    10.387         14.641            14.699 
    PUs[7].U_F.._S1_add_18_10     9     0.058     4.905    12.710         17.615            17.673 
    PUs[10].U_.._S1_add_18_10     9     0.058     4.571    11.364         15.935            15.993 
    PUs[13].U_.._S1_add_18_10     9     0.058     4.594    11.259         15.853            15.911 
    PUs[1].U_F.._S1_add_18_10     9     0.058     4.008     9.946         13.953            14.011 
    PUs[9].U_F.._S1_add_18_10     9     0.058     4.212    11.149         15.361            15.419 
    PUs[6].U_F.._S1_add_18_10     9     0.058     4.186    11.291         15.477            15.535 
    PUs[15].U_.._S1_add_18_10     9     0.058     3.971    10.628         14.599            14.656 
    PUs[0].U_F.._S1_add_18_10     9     0.058     4.747     7.562         12.308            12.366 
    PUs[12].U_.._S1_add_18_10     9     0.058     4.709    12.355         17.064            17.121 
    PUs[16].U_.._S1_add_18_10     9     0.058     4.028     6.590         10.618            10.675 
    PUs[14].U_.._S1_add_18_10     9     0.057     3.928    10.598         14.526            14.583 
    PUs[11].U_.._S1_add_18_10     9     0.057     3.789    10.078         13.867            13.925 
    PUs[6].U_F.._S0_add_41_16     4     0.020     0.968     1.988          2.956             2.976 
    PUs[1].U_F.._S0_add_41_16     4     0.020     1.005     1.907          2.912             2.932 
    PUs[0].U_F.._S0_add_41_16     4     0.020     0.931     1.876          2.807             2.827 
    PUs[3].U_F.._S0_add_41_16     4     0.020     0.787     1.498          2.285             2.305 
    PUs[1].U_F..S20_add_41_16     4     0.020     0.634     0.758          1.392             1.413 
    PUs[7].U_F.._S0_add_41_16     4     0.020     0.863     1.792          2.655             2.676 
    PUs[15].U_.._S0_add_41_16     4     0.020     0.752     0.923          1.675             1.695 
    PUs[10].U_.._S0_add_41_16     4     0.020     0.994     2.025          3.019             3.040 
    PUs[2].U_F.._S0_add_41_16     4     0.020     1.074     2.111          3.185             3.205 
    PUs[13].U_.._S0_add_41_16     4     0.020     0.801     0.979          1.780             1.800 
