============================================================
  Generated by:           Genus(TM) Synthesis Solution 17.10-p007_1
  Generated on:           Nov 20 2019  09:54:43 am
  Module:                 FME_INTER_2
  Technology libraries:   CORE65LPSVT 
                          CLOCK65LPSVT 
                          physical_cells 
  Operating conditions:   _nominal_ 
  Interconnect mode:      global
  Area mode:              physical library
============================================================

                                     Leakage   Internal     Net        Dynamic          Total       
                                                                   (Internal+Net) (Leakage+Dynamic) 
           Instance           Cells Power(uW)  Power(uW) Power(uW)    Power(uW)       Power(uW)     
----------------------------------------------------------------------------------------------------
    lt_584_18                     2     0.007      0.150     0.095          0.245             0.252 
  clipping[2].U_clip             15     0.144      8.919     9.629         18.549            18.692 
    gte_446_34                    6     0.081      4.331     4.572          8.903             8.983 
  clipping[17].U_clip            15     0.141      8.034     7.654         15.688            15.829 
    gte_446_34                    6     0.082      3.702     3.491          7.193             7.275 
  clipping[8].U_clip             15     0.140      8.893     8.969         17.862            18.003 
    gte_446_34                    6     0.082      4.785     4.574          9.359             9.441 
  clipping[11].U_clip            15     0.139      8.104     9.038         17.143            17.281 
    gte_446_34                    6     0.079      4.103     3.887          7.990             8.069 
  clipping[20].U_clip            15     0.138      9.010     9.445         18.455            18.593 
    gte_446_34                    6     0.080      5.245     4.564          9.809             9.889 
  clipping[30].U_clip            15     0.134      9.020     8.186         17.206            17.340 
    gte_446_34                    6     0.075      5.215     4.100          9.315             9.390 
  clipping[27].U_clip            15     0.133      8.638     8.093         16.731            16.864 
    gte_446_34                    6     0.074      4.504     3.481          7.985             8.059 
  clipping[5].U_clip             15     0.132      9.419     8.673         18.092            18.224 
    gte_446_34                    6     0.074      5.261     3.978          9.239             9.312 
  clipping[9].U_clip             15     0.132      9.505     9.158         18.662            18.794 
    gte_446_34                    6     0.074      5.247     4.103          9.350             9.424 
  clipping[14].U_clip            15     0.132      9.470     8.875         18.345            18.477 
    gte_446_34                    6     0.073      5.374     3.910          9.284             9.357 
  clipping[6].U_clip             15     0.132      9.150     8.714         17.865            17.996 
    gte_446_34                    6     0.073      4.869     3.645          8.514             8.587 
  clipping[29].U_clip            15     0.131      8.285     8.140         16.425            16.557 
    gte_446_34                    6     0.073      4.943     3.643          8.586             8.659 
  clipping[24].U_clip            15     0.131      8.117     7.638         15.755            15.886 
    gte_446_34                    6     0.072      4.211     3.034          7.245             7.316 
  clipping[3].U_clip             15     0.131      9.336     8.799         18.135            18.266 
    gte_446_34                    6     0.073      5.134     3.947          9.081             9.154 
  clipping[18].U_clip            15     0.131      8.827     7.793         16.620            16.751 
    gte_446_34                    6     0.072      4.652     3.578          8.230             8.301 
  clipping[32].U_clip            15     0.131      9.418     9.221         18.639            18.770 
    gte_446_34                    6     0.072      5.157     3.851          9.008             9.080 
  clipping[21].U_clip            15     0.131      8.721     8.656         17.377            17.507 
    gte_446_34                    6     0.072      4.873     3.715          8.588             8.660 
  clipping[12].U_clip            15     0.131      9.220     9.054         18.274            18.405 
    gte_446_34                    6     0.070      4.803     3.812          8.615             8.685 
  clipping[15].U_clip            15     0.130      7.938     7.603         15.541            15.672 
    gte_446_34                    6     0.072      4.033     3.157          7.190             7.262 
  clipping[26].U_clip            15     0.130      7.945     8.113         16.058            16.188 
    gte_446_34                    6     0.072      4.322     3.353          7.675             7.747 
  clipping[23].U_clip            15     0.130      8.563     8.252         16.816            16.946 
    gte_446_34                    6     0.071      4.524     3.431          7.955             8.026 
  clipping[0].U_clip             15     0.129      8.418     8.037         16.455            16.584 
    gte_446_34                    6     0.070      4.193     3.222          7.416             7.485 
  clipping[7..ip_gte_446_34       6     0.075      6.076     4.711         10.787            10.861 
  clipping[4..ip_gte_446_34       6     0.075      5.514     4.290          9.804             9.879 
  clipping[8..ip_gte_446_34       6     0.075      5.821     4.468         10.289            10.364 
  clipping[4..ip_gte_446_34       6     0.074      4.831     3.885          8.716             8.790 
  clipping[4..ip_gte_446_34       6     0.074      4.775     3.639          8.414             8.487 
  clipping[7..ip_gte_446_34       6     0.073      5.341     4.282          9.623             9.696 
  clipping[8..ip_gte_446_34       6     0.073      4.986     4.244          9.230             9.303 
  clipping[6..ip_gte_446_34       6     0.073      4.812     3.912          8.723             8.796 
  clipping[5..ip_gte_446_34       6     0.073      5.242     4.212          9.454             9.527 
  clipping[3..ip_gte_446_34       6     0.073      4.789     3.777          8.566             8.638 
  clipping[4..ip_gte_446_34       6     0.073      5.237     4.293          9.529             9.602 
  clipping[6..ip_gte_446_34       6     0.073      4.573     3.837          8.410             8.482 
  clipping[6..ip_gte_446_34       6     0.073      5.778     4.577         10.355            10.428 
  clipping[7..ip_gte_446_34       6     0.073      5.570     4.051          9.621             9.693 
  clipping[8..ip_gte_446_34       6     0.073      4.140     3.348          7.488             7.560 
  clipping[9..ip_gte_446_34       6     0.072      3.853     2.925          6.778             6.851 
  clipping[5..ip_gte_446_34       6     0.072      4.604     3.696          8.300             8.372 
  clipping[8..ip_gte_446_34       6     0.072      4.687     4.003          8.690             8.762 
  clipping[6..ip_gte_446_34       6     0.072      4.482     3.739          8.220             8.293 
  clipping[9..ip_gte_446_34       6     0.072      4.743     3.888          8.631             8.703 
  clipping[4..ip_gte_446_34       6     0.072      5.096     3.990          9.087             9.159 
  clipping[7..ip_gte_446_34       6     0.072      5.456     4.448          9.904             9.976 
  clipping[8..ip_gte_446_34       6     0.072      4.404     3.287          7.691             7.763 
  clipping[5..ip_gte_446_34       6     0.072      4.912     3.939          8.851             8.923 
  clipping[6..ip_gte_446_34       6     0.072      4.986     4.245          9.231             9.303 
  clipping[9..ip_gte_446_34       6     0.072      4.451     3.528          7.979             8.051 
